Well,Target,Oligo,Gene,Virus_amount,Bio_Rep,Cq
A12,Empty,sh11,Gapdh,100 uL,1,17.17178755
A13,Scr,sh14,Gapdh,100 uL,1,17.80966446
A14,Scr,sh14,Gapdh,100 uL,1,18.27879818
A15,Scr,sh15,Gapdh,100 uL,1,17.92465494
A16,Scr,sh15,Gapdh,100 uL,1,17.8507002
A17,Ctu1,sh1,Gapdh,100 uL,1,31.82520411
A18,Ctu1,sh1,Gapdh,100 uL,1,32.19906918
A19,Ctu1,sh2,Gapdh,100 uL,1,18.39619388
A20,Ctu1,sh2,Gapdh,100 uL,1,18.09570834
B11,Ctu1,sh3,Gapdh,100 uL,1,17.82433196
B12,Ctu1,sh3,Gapdh,100 uL,1,17.84881643
B13,Ctu2,sh6,Gapdh,100 uL,1,17.58289337
B14,Ctu2,sh6,Gapdh,100 uL,1,18.44208215
B15,Ctu2,sh7,Gapdh,100 uL,1,18.37332918
B16,Ctu2,sh7,Gapdh,100 uL,1,18.18123249
B17,Ctu2,sh8,Gapdh,100 uL,1,18.85075413
B18,Ctu2,sh8,Gapdh,100 uL,1,19.53022315
B19,Ctu2,sh17,Gapdh,100 uL,1,18.02138348
B20,Ctu2,sh17,Gapdh,100 uL,1,19.64443913
C11,Empty,sh11,Gapdh,100 uL,2,17.44848752
C12,Empty,sh11,Gapdh,100 uL,2,17.88934796
C13,Scr,sh14,Gapdh,100 uL,2,17.70835912
C14,Scr,sh14,Gapdh,100 uL,2,17.83096677
C15,Scr,sh15,Gapdh,100 uL,2,17.73974545
C16,Scr,sh15,Gapdh,100 uL,2,17.68563861
C17,Ctu1,sh1,Gapdh,100 uL,2,18.79632661
C18,Ctu1,sh1,Gapdh,100 uL,2,20.40576458
C19,Ctu1,sh2,Gapdh,100 uL,2,19.1993466
C20,Ctu1,sh2,Gapdh,100 uL,2,19.09329617
D11,Ctu1,sh3,Gapdh,100 uL,2,17.45242964
D12,Ctu1,sh3,Gapdh,100 uL,2,17.40372962
D13,Ctu2,sh6,Gapdh,100 uL,2,18.15724134
D14,Ctu2,sh6,Gapdh,100 uL,2,18.18084468
D15,Ctu2,sh7,Gapdh,100 uL,2,17.94832931
D16,Ctu2,sh7,Gapdh,100 uL,2,17.37252001
D17,Ctu2,sh8,Gapdh,100 uL,2,17.87994863
D18,Ctu2,sh8,Gapdh,100 uL,2,17.41856508
D19,Ctu2,sh17,Gapdh,100 uL,2,18.72631457
D20,Ctu2,sh17,Gapdh,100 uL,2,19.86434276
E11,Empty,sh11,Gapdh,30 uL,1,18.34593739
E12,Empty,sh11,Gapdh,30 uL,1,18.48526795
E13,Scr,sh14,Gapdh,30 uL,1,18.32303485
E14,Scr,sh14,Gapdh,30 uL,1,17.62233651
E15,Scr,sh15,Gapdh,30 uL,1,18.42403185
E16,Scr,sh15,Gapdh,30 uL,1,18.51278337
E17,Ctu1,sh1,Gapdh,30 uL,1,18.73538511
E18,Ctu1,sh1,Gapdh,30 uL,1,18.60422982
E19,Ctu1,sh2,Gapdh,30 uL,1,18.38012902
E20,Ctu1,sh2,Gapdh,30 uL,1,18.55735341
F11,Ctu1,sh3,Gapdh,30 uL,1,17.76828925
F12,Ctu1,sh3,Gapdh,30 uL,1,18.03319344
F13,Ctu2,sh6,Gapdh,30 uL,1,17.82467067
F14,Ctu2,sh6,Gapdh,30 uL,1,18.51552214
F15,Ctu2,sh7,Gapdh,30 uL,1,18.30926765
F16,Ctu2,sh7,Gapdh,30 uL,1,18.70551248
F17,Ctu2,sh8,Gapdh,30 uL,1,18.42327826
F18,Ctu2,sh8,Gapdh,30 uL,1,19.0789203
F19,Ctu2,sh17,Gapdh,30 uL,1,19.57730844
F20,Ctu2,sh17,Gapdh,30 uL,1,19.80581521
G11,Empty,sh11,Gapdh,30 uL,2,18.44657687
G12,Empty,sh11,Gapdh,30 uL,2,18.22456493
G13,Scr,sh14,Gapdh,30 uL,2,18.12580785
G14,Scr,sh14,Gapdh,30 uL,2,17.35930956
G15,Scr,sh15,Gapdh,30 uL,2,18.50490895
G16,Scr,sh15,Gapdh,30 uL,2,18.82981255
G17,Ctu1,sh1,Gapdh,30 uL,2,18.5770852
G18,Ctu1,sh1,Gapdh,30 uL,2,18.71033479
G19,Ctu1,sh2,Gapdh,30 uL,2,18.25205488
G20,Ctu1,sh2,Gapdh,30 uL,2,17.78228351
H11,Ctu1,sh3,Gapdh,30 uL,2,17.49119662
H12,Ctu1,sh3,Gapdh,30 uL,2,17.58554411
H13,Ctu2,sh6,Gapdh,30 uL,2,18.48330252
H14,Ctu2,sh6,Gapdh,30 uL,2,18.11566176
H15,Ctu2,sh7,Gapdh,30 uL,2,18.50364628
H16,Ctu2,sh7,Gapdh,30 uL,2,18.083789
H17,Ctu2,sh8,Gapdh,30 uL,2,19.59478006
H18,Ctu2,sh8,Gapdh,30 uL,2,19.15141664
H19,Ctu2,sh17,Gapdh,30 uL,2,19.80440361
H20,Ctu2,sh17,Gapdh,30 uL,2,18.7409568
