,Well,Fluor,Target,Content,Sample,Cq,SQ
,I19,SYBR,,Unkn,,NaN,NaN
,I20,SYBR,,Unkn,,NaN,NaN
,I21,SYBR,,Unkn,,NaN,NaN
,I22,SYBR,,Unkn,,NaN,NaN
,I23,SYBR,,Unkn,,NaN,NaN
,I24,SYBR,,Unkn,,NaN,NaN
,J01,SYBR,,Unkn,,25.7078216785421,NaN
,J02,SYBR,,Unkn,,26.1844487625006,NaN
,J03,SYBR,,Unkn,,28.4522674237297,NaN
,J04,SYBR,,Unkn,,29.1466508550029,NaN
,J05,SYBR,,Unkn,,25.4342857895154,NaN
,J06,SYBR,,Unkn,,26.3401649143866,NaN
,J07,SYBR,,Unkn,,23.1201022399421,NaN
,J08,SYBR,,Unkn,,23.2174386085403,NaN
,J09,SYBR,,Unkn,,28.2419098347923,NaN
,J10,SYBR,,Unkn,,28.4684920356763,NaN
,J11,SYBR,,Unkn,,24.0673160300315,NaN
,J12,SYBR,,Unkn,,24.4247083670374,NaN
,J13,SYBR,,Unkn,,NaN,NaN
,J14,SYBR,,Unkn,,NaN,NaN
,J15,SYBR,,Unkn,,NaN,NaN
,J16,SYBR,,Unkn,,NaN,NaN
,J17,SYBR,,Unkn,,NaN,NaN
,J18,SYBR,,Unkn,,NaN,NaN
,J19,SYBR,,Unkn,,NaN,NaN
,J20,SYBR,,Unkn,,NaN,NaN
,J21,SYBR,,Unkn,,NaN,NaN
,J22,SYBR,,Unkn,,NaN,NaN
,J23,SYBR,,Unkn,,NaN,NaN
,J24,SYBR,,Unkn,,NaN,NaN
,K01,SYBR,,Unkn,,24.8180463659212,NaN
,K02,SYBR,,Unkn,,24.6972395315789,NaN
,K03,SYBR,,Unkn,,28.3950798547587,NaN
,K04,SYBR,,Unkn,,28.9152077319547,NaN
,K05,SYBR,,Unkn,,25.1367961853066,NaN
,K06,SYBR,,Unkn,,25.2047109809111,NaN
,K07,SYBR,,Unkn,,22.02423408941,NaN
,K08,SYBR,,Unkn,,21.3702283011289,NaN
,K09,SYBR,,Unkn,,28.061641898351,NaN
,K10,SYBR,,Unkn,,28.0084591885618,NaN
,K11,SYBR,,Unkn,,21.5978494999881,NaN
,K12,SYBR,,Unkn,,21.6007552708485,NaN
,K13,SYBR,,Unkn,,NaN,NaN
,K14,SYBR,,Unkn,,NaN,NaN
,K15,SYBR,,Unkn,,NaN,NaN
,K16,SYBR,,Unkn,,NaN,NaN
,K17,SYBR,,Unkn,,NaN,NaN
,K18,SYBR,,Unkn,,NaN,NaN
,K19,SYBR,,Unkn,,NaN,NaN
