Well,Gene,Target,Oligo,Bio_Rep,Cq,,,,,,,
B17,Gapdh,Ctu2,sh3,1,18.49,,,,,,,
B18,Gapdh,Ctu2,sh3,1,18.83,,,,,,,
B19,Gapdh,Ctu2,sh3,2,18.06,,,,,,,
B20,Gapdh,Ctu2,sh3,2,18.22,,,,,,,
B21,Gapdh,Scr,sh3,1,27.23,,,,,,,
B22,Gapdh,Scr,sh3,1,26.75,,,,,,,
B23,Gapdh,Scr,sh3,2,27.10,,,,,,,
B24,Gapdh,Scr,sh3,2,27.24,,,,,,,
C01,Ctu1,Ctu1,sh2,1,28.77,,,,,,,
C02,Ctu1,Ctu1,sh2,1,28.49,,,,,,,
C03,Ctu1,Ctu1,sh2,2,26.82,,,,,,,
C04,Ctu1,Ctu1,sh2,2,27.74,,,,,,,
C05,Ctu1,Ctu2,sh2,1,27.25,,,,,,,
C06,Ctu1,Ctu2,sh2,1,28.02,,,,,,,
C07,Ctu1,Ctu2,sh2,2,29.38,,,,,,,
C08,Ctu1,Ctu2,sh2,2,28.49,,,,,,,
C09,Ctu1,Scr,sh2,1,28.68,,,,,,,
C10,Ctu1,Scr,sh2,1,28.89,,,,,,,
C11,Ctu1,Scr,sh2,2,27.72,,,,,,,
C12,Ctu1,Scr,sh2,2,28.79,,,,,,,
C13,Gapdh,Ctu1,sh2,1,17.85,,,,,,,
C14,Gapdh,Ctu1,sh2,1,18.44,,,,,,,
C15,Gapdh,Ctu1,sh2,2,18.29,,,,,,,
C16,Gapdh,Ctu1,sh2,2,18.34,,,,,,,
C17,Gapdh,Ctu2,sh2,1,18.33,,,,,,,
C18,Gapdh,Ctu2,sh2,1,18.50,,,,,,,
C19,Gapdh,Ctu2,sh2,2,17.75,,,,,,,
C20,Gapdh,Ctu2,sh2,2,17.75,,,,,,,
C21,Gapdh,Scr,sh2,1,26.27,,,,,,,
C22,Gapdh,Scr,sh2,1,26.23,,,,,,,
C23,Gapdh,Scr,sh2,2,25.70,,,,,,,
C24,Gapdh,Scr,sh2,2,26.47,,,,,,,
D01,Ctu1,Ctu1,sh1,1,27.56,,,,,,,
D02,Ctu1,Ctu1,sh1,1,27.82,,,,,,,
D03,Ctu1,Ctu1,sh1,2,28.68,,,,,,,
D04,Ctu1,Ctu1,sh1,2,27.05,,,,,,,
D05,Ctu1,Ctu2,sh1,1,28.53,,,,,,,
D06,Ctu1,Ctu2,sh1,1,28.85,,,,,,,
D07,Ctu1,Ctu2,sh1,2,28.98,,,,,,,
D08,Ctu1,Ctu2,sh1,2,28.91,,,,,,,
