,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,,,
88,sh4,Ctu1,Gapdh,2,Ctu1_sh4,20.37374692,20.46142339,20.41759,7.13991E-07,,7.13991E-07
89,g1,Ctu2,Gapdh,1,Ctu2_g1,20.27127512,20.06633393,20.1688,8.48372E-07,,
90,g2,Ctu2,Gapdh,1,Ctu2_g2,20.56075592,20.79392671,20.67734,5.96349E-07,,
91,g3,Ctu2,Gapdh,1,Ctu2_g3,20.12401646,19.99293984,20.05848,9.1579E-07,,
92,g4,Ctu2,Gapdh,1,Ctu2_g4,19.93260811,19.98125764,19.95693,9.82574E-07,,
93,g5,Ctu2,Gapdh,1,Ctu2_g5,20.01996257,20.06751722,20.04374,9.25194E-07,,
94,sh1,Ctu2,Gapdh,1,Ctu2_sh1,20.29443638,20.46621728,20.38033,7.32672E-07,,
95,sh2,Ctu2,Gapdh,1,Ctu2_sh2,20.63790451,20.70900361,20.67345,5.97959E-07,,
96,sh3,Ctu2,Gapdh,1,Ctu2_sh3,20.61417008,20.58564774,20.59991,6.2923E-07,,
97,sh4,Ctu2,Gapdh,1,Ctu2_sh4,20.14931123,19.83766727,19.99349,9.57987E-07,,
98,sh5,Ctu2,Gapdh,1,Ctu2_sh5,20.3446891,20.15921763,20.25195,8.00858E-07,,
99,g1,Ctu2,Gapdh,2,Ctu2_g1,21.02462209,20.64323106,20.83393,5.3501E-07,,
100,g2,Ctu2,Gapdh,2,Ctu2_g2,20.52061516,20.37034244,20.44548,7.00321E-07,,
101,g3,Ctu2,Gapdh,2,Ctu2_g3,20.11926041,20.31191303,20.21559,8.21299E-07,,
102,g4,Ctu2,Gapdh,2,Ctu2_g4,20.21446458,20.22117197,20.21782,8.2003E-07,,
103,g5,Ctu2,Gapdh,2,Ctu2_g5,19.88003417,19.60164392,19.74084,1.14134E-06,,
104,sh1,Ctu2,Gapdh,2,Ctu2_sh1,20.2839575,20.30496409,20.29446,7.77605E-07,,
105,sh2,Ctu2,Gapdh,2,Ctu2_sh2,20.51243059,20.682955,20.59769,6.30199E-07,,
106,sh3,Ctu2,Gapdh,2,Ctu2_sh3,20.83665802,20.76526356,20.80096,5.47378E-07,,
107,sh4,Ctu2,Gapdh,2,Ctu2_sh4,19.93592046,20.20435242,20.07014,9.08418E-07,,
108,sh5,Ctu2,Gapdh,2,Ctu2_sh5,20.6818372,NULL,20.68184,5.94492E-07,,
,,,,,,,,,1,,
,,,,,,,,,1,,
,,,,,,,,,1,,
,,,,,,,,,1,,
,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,#VALUE!,,
,,,,,,,,,1,,
28,sh5,Ctu2,Ctu2,1,Ctu2_sh5,28.71860304,28.6376237,28.67811,2.32824E-09,,
29,g1,Ctu2,Ctu2,2,Ctu2_g1,28.78415425,28.60737205,28.69576,2.29993E-09,,
30,g2,Ctu2,Ctu2,2,Ctu2_g2,28.3659609,28.52250701,28.44423,2.738E-09,,
31,g3,Ctu2,Ctu2,2,Ctu2_g3,28.0349634,28.27823683,28.1566,3.3421E-09,,
32,g4,Ctu2,Ctu2,2,Ctu2_g4,27.34576533,28.20465725,27.77521,4.3534E-09,,
33,g5,Ctu2,Ctu2,2,Ctu2_g5,27.37190624,27.46711387,27.41951,5.57064E-09,,
34,sh1,Ctu2,Ctu2,2,Ctu2_sh1,28.05330611,28.38464385,28.21897,3.20069E-09,,
35,sh2,Ctu2,Ctu2,2,Ctu2_sh2,28.44938831,28.2162698,28.33283,2.9578E-09,,
36,sh3,Ctu2,Ctu2,2,Ctu2_sh3,28.81635977,28.83396642,28.82516,2.10263E-09,,
37,sh4,Ctu2,Ctu2,2,Ctu2_sh4,28.37873424,28.26311441,28.32092,2.98232E-09,,
38,sh5,Ctu2,Ctu2,2,Ctu2_sh5,29.42176937,27.21843618,28.3201,2.98401E-09,,
39,g1,Scr,Ctu1,1,Scr_g1,29.09114516,29.01441655,29.05278,1.79573E-09,,
40,g2,Scr,Ctu1,1,Scr_g2,30.14367886,29.11965513,29.63167,1.2022E-09,,
41,g3,Scr,Ctu1,1,Scr_g3,25.40879272,28.14146103,26.77513,8.70728E-09,,
42,g1,Myd88,Ctu1,1,Myd88_g1,30.23736476,28.74136203,29.48936,1.32684E-09,,
43,,None,Ctu1,1,None,"c(31.96102374,Ê26.2058789)","c(30.51328808,Ê31.85000676)",30.13255,8.49569E-10,,
44,sh1,Scr,Ctu1,1,Scr_sh1,29.6294616,29.62428564,29.62687,1.20621E-09,,
45,sh2,Scr,Ctu1,1,Scr_sh2,28.77033317,30.94532866,29.85783,1.02777E-09,,
46,sh3,Scr,Ctu1,1,Scr_sh3,32.02809215,30.14243287,31.08526,4.38939E-10,,
47,g1,Scr,Ctu1,2,Scr_g1,28.42431533,30.2018681,29.31309,1.49927E-09,,
48,g2,Scr,Ctu1,2,Scr_g2,30.07264965,30.55656613,30.31461,7.48847E-10,,
49,g3,Scr,Ctu1,2,Scr_g3,27.47763722,28.71464843,28.09614,3.48513E-09,,
50,g1,Myd88,Ctu1,2,Myd88_g1,27.91580596,30.84384493,29.37983,1.4315E-09,,
51,,None,Ctu1,2,None,"c(28.16459803,Ê32.44734369)","c(30.55154282,Ê30.16167926)",30.33129,7.40239E-10,,
52,sh1,Scr,Ctu1,2,Scr_sh1,29.38601077,30.47416752,29.93009,9.77564E-10,,
