Well,Target,Oligo,Vector,Gene,Bio_Rep,Cq
O11,Scr,sh15,PLKO.1,Gapdh,2,17.05863436
O12,Scr,sh15,PLKO.1,Gapdh,2,16.92777587
P01,Trmt61a,sh26,PLKO.1,Gapdh,3,17.57475721
P02,Trmt61a,sh26,PLKO.1,Gapdh,3,17.28821928
P03,Trmt61a,sh27,PLKO.1,Gapdh,3,18.22009014
P04,Trmt61a,sh27,PLKO.1,Gapdh,3,18.15121915
P05,Trmt61a,sh28,PLKO.1,Gapdh,3,17.14317946
P06,Trmt61a,sh28,PLKO.1,Gapdh,3,17.13933899
P07,Empty,sh11,PLKO.1,Gapdh,3,17.55248865
P08,Empty,sh11,PLKO.1,Gapdh,3,17.33317044
P09,Scr,sh14,PLKO.1,Gapdh,3,17.05453461
P10,Scr,sh14,PLKO.1,Gapdh,3,17.08419742
P11,Scr,sh15,PLKO.1,Gapdh,3,17.66510969
P12,Scr,sh15,PLKO.1,Gapdh,3,17.33289565
