"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"83","1","Myd88_g1","Ctu2","25.97862","26.24914","26.11388","1.377016e-08","15.57098","10.5429030","6.703011e-04","2.054324e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"84","1","Myd88_g1","Ctu2","24.40703","24.55652","24.48177","4.268266e-08","16.15968"," 8.3220974","3.124633e-03","1.366005e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"85","1","Myd88_g1","Ctu2","24.40703","24.55652","24.48177","4.268266e-08","16.70498"," 7.7767914","4.559871e-03","9.360498e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"86","1","Myd88_g1","Ctu2","24.40703","24.55652","24.48177","4.268266e-08","17.22666"," 7.2551129","6.546262e-03","6.520157e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"87","1","Myd88_g1","Ctu2","24.40703","24.55652","24.48177","4.268266e-08","15.57098"," 8.9107979","2.077699e-03","2.054324e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"88","1","Scr_g2","Ctu2","24.48305","25.08642","24.78473","3.459803e-08","16.84421"," 7.9405282","4.070641e-03","8.499405e-06","gRNA","24.64878","3.801702e-08"," 8.056645","3.755850e-03","16.59213","1.012208e-05","Control"
"89","1",NA,"Ctu2","24.95111","25.24208","25.09660","2.787225e-08","17.02653"," 8.0700663","3.721071e-03","7.490382e-06","shRNA","25.15885","2.669505e-08"," 7.893560","4.205345e-03","17.26529","6.347885e-06","Control"
"90","1",NA,"Ctu2","34.73776",NA,"34.73776","3.490537e-11","27.16275"," 7.5750138","5.244374e-03","6.655774e-09","shRNA","34.73776","3.490537e-11"," 7.575014","5.244374e-03","27.16275","6.655774e-09","Control"
"91","2","Ctu1_g1","Ctu2","24.22662","24.32068","24.27365","4.930654e-08","16.18534"," 8.0883033","3.674329e-03","1.341919e-05","gRNA","25.86517","1.636087e-08"," 9.335889","1.547453e-03","16.52929","1.057278e-05","Ctu1"
"92","2","Ctu1_g2","Ctu2","24.19543","24.42119","24.30831","4.813593e-08","16.26379"," 8.0445197","3.787549e-03","1.270899e-05","gRNA","25.32925","2.372123e-08"," 9.354380","1.527745e-03","15.97487","1.552695e-05","Ctu1"
"93","2","Ctu1_g4","Ctu2","24.04711","24.34475","24.19593","5.203534e-08","16.00243"," 8.1935001","3.415944e-03","1.523308e-05","gRNA","25.72929","1.797674e-08"," 9.485124","1.395383e-03","16.24417","1.288302e-05","Ctu1"
"94","2","Ctu1_g5","Ctu2","24.10675","24.33734","24.22204","5.110205e-08","15.81905"," 8.4029944","2.954246e-03","1.729783e-05","gRNA","25.69672","1.838719e-08"," 9.576120","1.310088e-03","16.12060","1.403508e-05","Ctu1"
"95","2","Ctu2_g1","Ctu2","25.48909","25.54706","25.51808","2.081102e-08","16.65222"," 8.8658602","2.143434e-03","9.709194e-06","gRNA","26.97513","7.580117e-09","10.661402","6.174450e-04","16.31373","1.227659e-05","Ctu2"
