"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"40","2","Empty_sh11","Empty","sh11","Trmt61a","27.79831","28.10965","27.95398","3.846031e-09","18.86289","9.091088","0.001833622","2.097505e-06","26.99172","0.5894095","7.493453e-09","9.185068","1.627317e-04","0.001717983","17.80665","0.6571631","4.361773e-06","shRNA"
"41","2","Scr_sh14","Scr","sh14","Trmt61a","27.22604","27.21817","27.22210","6.387485e-09","17.72814","9.493969","0.001386853","4.605741e-06","26.54550","0.4282960","1.020959e-08","9.301844","1.449555e-04","0.001584405","17.24366","0.3005473","6.443804e-06","shRNA"
"42","2","Scr_sh15","Scr","sh15","Trmt61a","25.58188","25.72343","25.65266","1.895751e-08","16.99321","8.659450","0.002473123","7.665413e-06","25.78749","0.1041245","1.726600e-08","8.475483","2.770185e-04","0.002809476","17.31201","0.1961984","6.145631e-06","shRNA"
"43","2","Trmt61a_sh26","Trmt61a","sh26","Trmt61a","25.91173","25.79093","25.85133","1.651859e-08","16.31378","9.537556","0.001345580","1.227619e-05","26.60366","0.5786804","9.806197e-09","9.280657","1.901578e-04","0.001607844","17.32300","0.6785342","6.098972e-06","shRNA"
"44","2","Trmt61a_sh27","Trmt61a","sh27","Trmt61a","26.24728","26.47857","26.36293","1.158694e-08","18.59402","7.768902","0.004584874","2.527209e-06","26.74265","0.6930415","8.905543e-09","7.928618","4.463991e-04","0.004104384","18.81403","0.5392157","2.169763e-06","shRNA"
"45","2","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","26.76586","26.70380","26.73483","8.953950e-09","17.11445","9.620377","0.001270509","7.047527e-06","27.20531","0.5969479","6.462272e-09","9.581653","2.136577e-05","0.001305074","17.62366","0.6073064","4.951652e-06","shRNA"
"46","3","Empty_sh11","Empty","sh11","Trmt61a","26.41216","26.57169","26.49192","1.059586e-08","17.44283","9.049095","0.001887778","5.612871e-06","26.99172","0.5894095","7.493453e-09","9.185068","1.627317e-04","0.001717983","17.80665","0.6571631","4.361773e-06","shRNA"
"47","3","Scr_sh14","Scr","sh14","Trmt61a","26.39583","26.32535","26.36059","1.160572e-08","17.06937","9.291222","0.001596112","7.271246e-06","26.54550","0.4282960","1.020959e-08","9.301844","1.449555e-04","0.001584405","17.24366","0.3005473","6.443804e-06","shRNA"
"48","3","Scr_sh15","Scr","sh15","Trmt61a","25.70253","25.82786","25.76519","1.753491e-08","17.49900","8.266192","0.003248092","5.398527e-06","25.78749","0.1041245","1.726600e-08","8.475483","2.770185e-04","0.002809476","17.31201","0.1961984","6.145631e-06","shRNA"
"49","3","Trmt61a_sh26","Trmt61a","sh26","Trmt61a","26.41824","26.55095","26.48460","1.064981e-08","17.43149","9.053108","0.001882534","5.657169e-06","26.60366","0.5786804","9.806197e-09","9.280657","1.901578e-04","0.001607844","17.32300","0.6785342","6.098972e-06","shRNA"
"50","3","Trmt61a_sh27","Trmt61a","sh27","Trmt61a","25.86264","26.15580","26.00922","1.480626e-08","18.18565","7.823563","0.004414412","3.354073e-06","26.74265","0.6930415","8.905543e-09","7.928618","4.463991e-04","0.004104384","18.81403","0.5392157","2.169763e-06","shRNA"
"51","3","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","26.52357","26.87878","26.70118","9.165266e-09","17.14126","9.559917","0.001324885","6.917781e-06","27.20531","0.5969479","6.462272e-09","9.581653","2.136577e-05","0.001305074","17.62366","0.6073064","4.951652e-06","shRNA"
