"","Bio_Rep","Target_oligo","Target","Oligo","Virus_amount","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"47","1","Ctu2_sh6","Ctu2","sh6","100 uL","Ctu2","26.39364","26.37498","26.38431","1.141645e-08","18.01249"," 8.371823","0.0030187716","3.781820e-06","26.20982","0.1744854850","1.288417e-08"," 8.119060","6.334003e-04","0.0035968269","18.09077","0.07827763","3.582094e-06","shRNA"
"48","1","Ctu2_sh6","Ctu2","sh6","30 uL","Ctu2","27.12934","27.12299","27.12616","6.826707e-09","18.17010"," 8.956067","0.0020135170","3.390439e-06","27.26433","0.1381692150","6.203234e-09"," 9.029543","9.749839e-05","0.0019135363","18.23479","0.06469287","3.241765e-06","shRNA"
"49","1","Ctu2_sh7","Ctu2","sh7","100 uL","Ctu2","27.34550","27.31883","27.33217","5.918311e-09","18.27728"," 9.054887","0.0018802150","3.147677e-06","26.84163","0.4905329025","8.315012e-09"," 8.872782","2.699766e-04","0.0021331752","17.96885","0.30842809","3.897951e-06","shRNA"
"50","1","Ctu2_sh7","Ctu2","sh7","30 uL","Ctu2","27.10066","27.25067","27.17567","6.596425e-09","18.50739"," 8.668278","0.0024580358","2.683616e-06","27.02757","0.1480950025","7.309534e-09"," 8.627020","7.234516e-05","0.0025293465","18.40055","0.10683621","2.889890e-06","shRNA"
"51","1","Ctu2_sh8","Ctu2","sh8","100 uL","Ctu2","27.69336","27.70341","27.69838","4.591507e-09","19.19049"," 8.507896","0.0027470591","1.671427e-06","27.56738","0.1310005850","5.027944e-09"," 9.147512","8.076145e-04","0.0017632935","18.41987","0.77061589","2.851450e-06","shRNA"
"52","1","Ctu2_sh8","Ctu2","sh8","30 uL","Ctu2","27.66503","27.72982","27.69743","4.594556e-09","18.75110"," 8.946328","0.0020271547","2.266505e-06","28.04372","0.3462926175","3.614091e-09"," 8.981621","4.839728e-05","0.0019781655","19.06210","0.31099954","1.826991e-06","shRNA"
"53","1","Empty_sh11","Empty","sh11","100 uL","Ctu2","25.63615","25.78329","25.70972","1.822229e-08","17.17507"," 8.534652","0.0026965818","6.757552e-06","25.73813","0.0284131825","1.786692e-08"," 8.316141","4.770365e-04","0.0031375611","17.42199","0.24692491","5.694526e-06","shRNA"
"54","1","Empty_sh11","Empty","sh11","30 uL","Ctu2","26.27841","25.86881","26.07361","1.415993e-08","18.41560"," 7.658008","0.0049511928","2.859902e-06","26.05676","0.0168499150","1.432628e-08"," 7.681174","7.824035e-05","0.0048723242","18.37559","0.04001588","2.940338e-06","shRNA"
"55","1","Scr_sh14","Scr","sh14","100 uL","Ctu2","25.73052","26.05101","25.89076","1.607324e-08","18.04423"," 7.846533","0.0043446848","3.699518e-06","25.54684","0.3439210600","2.040018e-08"," 7.639896","7.205753e-04","0.0050137442","17.90695","0.13728419","4.068851e-06","shRNA"
"56","1","Scr_sh14","Scr","sh14","30 uL","Ctu2","26.01138","26.00723","26.00930","1.480540e-08","17.97269"," 8.036615","0.0038083578","3.887608e-06","26.04921","0.0399117475","1.440143e-08"," 8.191590","3.681359e-04","0.0034204681","17.85762","0.11506349","4.210368e-06","shRNA"
"57","1","Scr_sh15","Scr","sh15","100 uL","Ctu2","25.91791","25.80548","25.86170","1.640037e-08","17.88768"," 7.974019","0.0039772340","4.123562e-06","25.99559","0.1338974700","1.494674e-08"," 8.195409","5.255610e-04","0.0034114267","17.80018","0.08749277","4.381375e-06","shRNA"
"58","1","Scr_sh15","Scr","sh15","30 uL","Ctu2","26.08192","26.06929","26.07561","1.414036e-08","18.46841"," 7.607198","0.0051286739","2.757118e-06","26.12620","0.0505947000","1.365306e-08"," 7.558317","1.797945e-04","0.0053054227","18.56788","0.09947657","2.573415e-06","shRNA"
"59","2","Ctu1_sh1","Ctu1","sh1","100 uL","Ctu2","26.74382","26.41903","26.58142","9.958506e-09","19.60105"," 6.980378","0.0079194839","1.257469e-06","26.58142",NA,"9.958506e-09"," 6.980378",NA,"0.0079194839","19.60105",NA,"1.257469e-06","shRNA"
"60","2","Ctu1_sh1","Ctu1","sh1","30 uL","Ctu2","26.40700","26.32211","26.36455","1.157386e-08","18.64371"," 7.720844","0.0047401735","2.441654e-06","26.25790","0.1066565575","1.246192e-08"," 7.601139","4.278250e-04","0.0051502597","18.65676","0.01304873","2.419669e-06","shRNA"
"61","2","Ctu1_sh2","Ctu1","sh2","100 uL","Ctu2","26.44932","26.50132","26.47532","1.071851e-08","19.14632"," 7.328999","0.0062194415","1.723388e-06","26.47478","0.0005369675","1.072250e-08"," 7.778647","1.442450e-03","0.0045540081","18.69614","0.45018514","2.354519e-06","shRNA"
"62","2","Ctu1_sh2","Ctu1","sh2","30 uL","Ctu2","26.08046","25.99621","26.03834","1.451039e-08","18.01717"," 8.021169","0.0038493509","3.769568e-06","26.14155","0.1032129000","1.350856e-08"," 7.898596","3.564747e-04","0.0041906915","18.24296","0.22578601","3.223467e-06","shRNA"
"63","2","Ctu1_sh3","Ctu1","sh3","100 uL","Ctu2","25.42160","25.60214","25.51187","2.090070e-08","17.42808"," 8.083794","0.0036858329","5.670551e-06","25.65302","0.1411475150","1.895271e-08"," 8.020694","1.684699e-04","0.0038506191","17.63233","0.20424728","4.921990e-06","shRNA"
"64","2","Ctu1_sh3","Ctu1","sh3","30 uL","Ctu2","26.45779","26.01413","26.23596","1.265288e-08","17.53837"," 8.697589","0.0024086010","5.253206e-06","25.96697","0.2689902625","1.524626e-08"," 8.247413","1.043551e-03","0.0032906468","17.71956","0.18118549","4.633212e-06","shRNA"
