"","Bio_Rep","Target_oligo","Treatment","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"52","2","Ctu2_g3","None","Ctu2","25.12665","25.29088","25.20876","2.578729e-08","16.22450"," 8.984266","1.974542e-03","1.305988e-05","gRNA","26.29975","1.210558e-08","10.521530","6.803055e-04","15.77822","1.779433e-05","Ctu2"
"53","2","Ctu2_g4","None","Ctu2","24.86403","25.21016","25.03709","2.904582e-08","15.94999"," 9.087108","1.838688e-03","1.579704e-05","gRNA","24.97006","3.042720e-08"," 8.458021","2.843688e-03","16.51204","1.069991e-05","Ctu2"
"54","2","Ctu2_g5","None","Ctu2","26.02558","26.43022","26.22790","1.272377e-08","17.34426"," 8.883642","2.117177e-03","6.009781e-06","gRNA","26.35707","1.163406e-08"," 8.827325","2.201458e-03","17.52974","5.284708e-06","Ctu2"
"55","2","Myd88_g1","LPS_1","Ctu2","26.26549","26.31322","26.28935","1.219315e-08","16.10095","10.188407","8.570058e-04","1.422762e-05","gRNA","25.95557","1.536722e-08","10.119607","8.988655e-04","15.83596","1.709624e-05","Control"
"56","2","Myd88_g1","LPS_10","Ctu2","24.34995","24.38800","24.36898","4.615377e-08","16.05559"," 8.313386","3.143558e-03","1.468202e-05","gRNA","24.42538","4.438429e-08"," 8.045089","3.786056e-03","16.38029","1.172310e-05","Control"
"57","2","Myd88_g1","LPS_100","Ctu2","24.61790","25.02833","24.82311","3.368976e-08","16.31382"," 8.509291","2.744404e-03","1.227580e-05","gRNA","24.88338","3.231134e-08"," 8.646634","2.495192e-03","16.23675","1.294944e-05","Control"
"58","2","Myd88_g1","None","Ctu2","24.58891","24.71874","24.65382","3.788436e-08","16.50840"," 8.145421","3.531702e-03","1.072694e-05","gRNA","24.65382","3.788436e-08"," 8.145421","3.531702e-03","16.50840","1.072694e-05","Control"
"59","2","Myd88_g1","Pam","Ctu2","26.06805","26.99422","26.53114","1.031173e-08","17.91133"," 8.619806","2.542025e-03","4.056502e-06","gRNA","26.32251","1.191613e-08"," 8.753512","2.317023e-03","17.56900","5.142862e-06","Control"
"60","2","Scr_g2","None","Ctu2","24.42593","24.59972","24.51282","4.177389e-08","16.34006"," 8.172762","3.465402e-03","1.205456e-05","gRNA","24.64878","3.801702e-08"," 8.056645","3.755850e-03","16.59213","1.012208e-05","Control"
"61","2","Untrans. (-puro)","None","Ctu2","25.16543","25.27679","25.22111","2.556756e-08","17.50406"," 7.717054","4.752643e-03","5.379652e-06","shRNA","25.15885","2.669505e-08"," 7.893560","4.205345e-03","17.26529","6.347885e-06","Control"
"62","1","Ctu2_g4","None","Il6","32.06550","31.35998","31.71274","2.841279e-10","17.07410","14.638643","3.920391e-05","7.247439e-06","gRNA","31.22511","3.983878e-10","14.713066","3.723282e-05","16.51204","1.069991e-05","Ctu2"
"63","1","Ctu2_g5","None","Il6","32.80530","31.37350","32.08940","2.188410e-10","17.71523","14.374165","4.709179e-05","4.647115e-06","gRNA","31.17703","4.118871e-10","13.647287","7.793942e-05","17.52974","5.284708e-06","Ctu2"
"64","1","Myd88_g1","LPS_1","Il6","25.68025","26.24178","25.96102","1.530931e-08","15.57098","10.390039","7.452237e-04","2.054324e-05","gRNA","24.97645","3.029279e-08"," 9.140489","1.771898e-03","15.83596","1.709624e-05","Control"
"65","1","Myd88_g1","LPS_10","Il6","18.75914","18.79429","18.77672","2.226616e-06","16.70498"," 2.071733","2.378737e-01","9.360498e-06","gRNA","18.62916","2.466400e-06"," 2.248875","2.103881e-01","16.38029","1.172310e-05","Control"
"66","1","Myd88_g1","LPS_100","Il6","17.96598","17.98560","17.97579","3.879263e-06","16.15968"," 1.816109","2.839859e-01","1.366005e-05","gRNA","18.09785","3.564544e-06"," 1.861101","2.752662e-01","16.23675","1.294944e-05","Control"
"67","1","Myd88_g1","Pam","Il6","20.72722","20.65079","20.68900","5.915466e-07","17.22666"," 3.462343","9.072582e-02","6.520157e-06","gRNA","20.70266","5.859748e-07"," 3.133661","1.139394e-01","17.56900","5.142862e-06","Control"
"68","1","Scr_g2","None","Il6","29.93510","29.84766","29.89138","1.004148e-09","16.84421","13.047174","1.181433e-04","8.499405e-06","gRNA","29.86416","1.023276e-09","13.272023","1.010935e-04","16.59213","1.012208e-05","Control"
"69","1","Untrans. (-puro)","None","Il6","27.65251","28.08189","27.86720","4.084490e-09","17.02653","10.840668","5.452979e-04","7.490382e-06","shRNA","28.36554","2.891484e-09","11.100250","4.555035e-04","17.26529","6.347885e-06","Control"
"70","1","Untrans. (+puro)","None","Il6","36.52338",NA,"36.52338","1.012434e-11","27.16275"," 9.360635","1.521137e-03","6.655774e-09","shRNA","35.81413","1.655290e-11"," 8.855638","2.158675e-03","26.95849","7.668082e-09","Control"
"71","2","Ctu2_g4","None","Il6","30.87416","30.60079","30.73747","5.585965e-10","15.94999","14.787488","3.536084e-05","1.579704e-05","gRNA","31.22511","3.983878e-10","14.713066","3.723282e-05","16.51204","1.069991e-05","Ctu2"
"72","2","Ctu2_g5","None","Il6","30.10237","30.42696","30.26467","7.752250e-10","17.34426","12.920410","1.289939e-04","6.009781e-06","gRNA","31.17703","4.118871e-10","13.647287","7.793942e-05","17.52974","5.284708e-06","Ctu2"
"73","2","Myd88_g1","LPS_1","Il6","23.57897","24.40480","23.99189","5.994086e-08","16.10095"," 7.890938","4.212994e-03","1.422762e-05","gRNA","24.97645","3.029279e-08"," 9.140489","1.771898e-03","15.83596","1.709624e-05","Control"
"74","2","Myd88_g1","LPS_10","Il6","18.30444","18.65878","18.48161","2.732006e-06","16.05559"," 2.426017","1.860784e-01","1.468202e-05","gRNA","18.62916","2.466400e-06"," 2.248875","2.103881e-01","16.38029","1.172310e-05","Control"
"75","2","Myd88_g1","LPS_100","Il6","18.17708","18.26275","18.21992","3.275358e-06","16.31382"," 1.906093","2.668142e-01","1.227580e-05","gRNA","18.09785","3.564544e-06"," 1.861101","2.752662e-01","16.23675","1.294944e-05","Control"
"76","2","Myd88_g1","None","Il6","30.05333","29.45415","29.75374","1.104671e-09","16.50840","13.245335","1.029810e-04","1.072694e-05","gRNA","29.75374","1.104671e-09","13.245335","1.029810e-04","16.50840","1.072694e-05","Control"
"77","2","Myd88_g1","Pam","Il6","20.61127","20.82135","20.71631","5.804554e-07","17.91133"," 2.804979","1.430926e-01","4.056502e-06","gRNA","20.70266","5.859748e-07"," 3.133661","1.139394e-01","17.56900","5.142862e-06","Control"
"78","2","Scr_g2","None","Il6","30.07546","29.59841","29.83693","1.042769e-09","16.34006","13.496871","8.650415e-05","1.205456e-05","gRNA","29.86416","1.023276e-09","13.272023","1.010935e-04","16.59213","1.012208e-05","Control"
"79","2","Untrans. (-puro)","None","Il6","28.99135","28.73643","28.86389","2.046934e-09","17.50406","11.359833","3.804955e-04","5.379652e-06","shRNA","28.36554","2.891484e-09","11.100250","4.555035e-04","17.26529","6.347885e-06","Control"
"80","2","Untrans. (+puro)","None","Il6","35.84746","34.36228","35.10487","2.706334e-11","26.75423"," 8.350642","3.063419e-03","8.834356e-09","shRNA","35.81413","1.655290e-11"," 8.855638","2.158675e-03","26.95849","7.668082e-09","Control"
