,Well,Fluor,Target,Content,Sample,Cq,SQ
,M04,SYBR,,Unkn,,21.8580579975628,NaN
,M05,SYBR,,Unkn,,21.4792042637786,NaN
,M06,SYBR,,Unkn,,22.3079255333858,NaN
,M07,SYBR,,Unkn,,18.9140235574329,NaN
,M08,SYBR,,Unkn,,19.184095895386,NaN
,M09,SYBR,,Unkn,,18.9497815731971,NaN
,M10,SYBR,,Unkn,,18.5518977661532,NaN
,M11,SYBR,,Unkn,,18.5585434830973,NaN
,M12,SYBR,,Unkn,,18.2693735343461,NaN
,M13,SYBR,,Unkn,,NaN,NaN
,M14,SYBR,,Unkn,,NaN,NaN
,M15,SYBR,,Unkn,,NaN,NaN
,M16,SYBR,,Unkn,,NaN,NaN
,M17,SYBR,,Unkn,,NaN,NaN
,M18,SYBR,,Unkn,,NaN,NaN
,M19,SYBR,,Unkn,,NaN,NaN
,M20,SYBR,,Unkn,,NaN,NaN
,M21,SYBR,,Unkn,,NaN,NaN
,M22,SYBR,,Unkn,,NaN,NaN
,M23,SYBR,,Unkn,,NaN,NaN
,M24,SYBR,,Unkn,,NaN,NaN
,N01,SYBR,,Unkn,,NaN,NaN
,N02,SYBR,,Unkn,,NaN,NaN
,N03,SYBR,,Unkn,,NaN,NaN
,N04,SYBR,,Unkn,,NaN,NaN
,N05,SYBR,,Unkn,,NaN,NaN
,N06,SYBR,,Unkn,,NaN,NaN
,N07,SYBR,,Unkn,,NaN,NaN
,N08,SYBR,,Unkn,,NaN,NaN
,N09,SYBR,,Unkn,,NaN,NaN
,N10,SYBR,,Unkn,,NaN,NaN
,N11,SYBR,,Unkn,,NaN,NaN
,N12,SYBR,,Unkn,,NaN,NaN
,N13,SYBR,,Unkn,,NaN,NaN
,N14,SYBR,,Unkn,,NaN,NaN
,N15,SYBR,,Unkn,,NaN,NaN
,N16,SYBR,,Unkn,,NaN,NaN
,N17,SYBR,,Unkn,,NaN,NaN
,N18,SYBR,,Unkn,,NaN,NaN
,N19,SYBR,,Unkn,,NaN,NaN
,N20,SYBR,,Unkn,,NaN,NaN
,N21,SYBR,,Unkn,,NaN,NaN
,N22,SYBR,,Unkn,,NaN,NaN
,N23,SYBR,,Unkn,,NaN,NaN
,N24,SYBR,,Unkn,,NaN,NaN
,O01,SYBR,,Unkn,,NaN,NaN
,O02,SYBR,,Unkn,,NaN,NaN
,O03,SYBR,,Unkn,,NaN,NaN
,O04,SYBR,,Unkn,,NaN,NaN
,O05,SYBR,,Unkn,,NaN,NaN
,O06,SYBR,,Unkn,,NaN,NaN
,O07,SYBR,,Unkn,,NaN,NaN
,O08,SYBR,,Unkn,,NaN,NaN
,O09,SYBR,,Unkn,,NaN,NaN
,O10,SYBR,,Unkn,,NaN,NaN
,O11,SYBR,,Unkn,,NaN,NaN
,O12,SYBR,,Unkn,,NaN,NaN
,O13,SYBR,,Unkn,,NaN,NaN
,O14,SYBR,,Unkn,,NaN,NaN
,O15,SYBR,,Unkn,,NaN,NaN
,O16,SYBR,,Unkn,,NaN,NaN
,O17,SYBR,,Unkn,,NaN,NaN
,O18,SYBR,,Unkn,,NaN,NaN
,O19,SYBR,,Unkn,,NaN,NaN
,O20,SYBR,,Unkn,,NaN,NaN
,O21,SYBR,,Unkn,,NaN,NaN
,O22,SYBR,,Unkn,,NaN,NaN
,O23,SYBR,,Unkn,,NaN,NaN
,O24,SYBR,,Unkn,,NaN,NaN
,P01,SYBR,,Unkn,,NaN,NaN
,P02,SYBR,,Unkn,,NaN,NaN
,P03,SYBR,,Unkn,,NaN,NaN
,P04,SYBR,,Unkn,,NaN,NaN
,P05,SYBR,,Unkn,,NaN,NaN
,P06,SYBR,,Unkn,,NaN,NaN
,P07,SYBR,,Unkn,,NaN,NaN
,P08,SYBR,,Unkn,,NaN,NaN
,P09,SYBR,,Unkn,,NaN,NaN
,P10,SYBR,,Unkn,,NaN,NaN
,P11,SYBR,,Unkn,,NaN,NaN
,P12,SYBR,,Unkn,,NaN,NaN
,P13,SYBR,,Unkn,,NaN,NaN
,P14,SYBR,,Unkn,,NaN,NaN
,P15,SYBR,,Unkn,,NaN,NaN
,P16,SYBR,,Unkn,,NaN,NaN
,P17,SYBR,,Unkn,,NaN,NaN
,P18,SYBR,,Unkn,,NaN,NaN
,P19,SYBR,,Unkn,,NaN,NaN
,P20,SYBR,,Unkn,,NaN,NaN
,P21,SYBR,,Unkn,,NaN,NaN
,P22,SYBR,,Unkn,,NaN,NaN
,P23,SYBR,,Unkn,,NaN,NaN
,P24,SYBR,,Unkn,,NaN,NaN
