Biol_Rep,Tech_Rep,Treatment,Time,Dose,Well,Gene,Cq
2,2,L,6,med,J14,Gapdh,19.40425638
2,1,S,6,med,J15,Gapdh,19.99485709
2,2,S,6,med,J16,Gapdh,19.80690713
2,1,LS,6,med,J17,Gapdh,19.47099777
2,2,LS,6,med,J18,Gapdh,19.22985725
2,1,L,2,med,J19,Gapdh,19.5112278
2,2,L,2,med,J20,Gapdh,19.13250787
2,1,S,2,med,J21,Gapdh,19.44167827
2,2,S,2,med,J22,Gapdh,19.52778144
2,1,LS,2,med,J23,Gapdh,20.97157329
1,1,L,6,high,K01,Gapdh,19.79166101
1,2,L,6,high,K02,Gapdh,19.70111081
1,1,S,6,high,K03,Gapdh,19.80359196
1,2,S,6,high,K04,Gapdh,19.91395356
1,1,LS,6,high,K05,Gapdh,19.64217013
1,2,LS,6,high,K06,Gapdh,19.56553005
1,1,L,2,high,K07,Gapdh,20.0465983
1,2,L,2,high,K08,Gapdh,19.58763436
1,1,S,2,high,K09,Gapdh,19.97817231
1,2,S,2,high,K10,Gapdh,19.93545091
1,1,LS,2,high,K11,Gapdh,19.48268099
1,2,LS,2,high,K12,Gapdh,19.51983594
2,1,L,6,high,K13,Gapdh,19.51313723
2,2,L,6,high,K14,Gapdh,19.33991005
2,1,S,6,high,K15,Gapdh,19.61976567
2,2,S,6,high,K16,Gapdh,19.5393829
2,1,LS,6,high,K17,Gapdh,19.48913804
2,1,L,2,high,K19,Gapdh,19.34900215
2,2,L,2,high,K20,Gapdh,22.95000343
2,1,S,2,high,K21,Gapdh,22.90718727
2,2,S,2,high,K22,Gapdh,20.84059538
2,1,LS,2,high,K23,Gapdh,20.22861901
2,2,LS,2,high,K24,Gapdh,21.08991901
1,1,Control,0,none,L01,Gapdh,19.37175488
1,2,Control,0,none,L02,Gapdh,19.35948004
2,1,Control,0,none,L03,Gapdh,19.32016691
2,2,Control,0,none,L04,Gapdh,19.19131874
3,1,Control,0,none,L05,Gapdh,19.35079775
3,2,Control,0,none,L06,Gapdh,19.4740562
