Well,Gene,Target,Oligo,Bio_Rep,Treatment,Cq
O19,Ctu1_std_3,,,,,30.95103957
O20,Ctu1_std_3,,,,,30.54365616
O21,Ctu1_std_4,,,,,32.86791574
O22,Ctu1_std_4,,,,,32.44377829
P01,Il6,Ctu2,g5,1,None,32.80529743
P02,Il6,Ctu2,g5,1,None,31.3734987
P03,Il6,Ctu2,g5,2,None,30.10236725
P04,Il6,Ctu2,g5,2,None,30.42696443
P05,Il6,Myd88,g1,1,Pam,20.72721742
P06,Il6,Myd88,g1,1,Pam,20.65079224
P07,Il6,Untrans. (+puro),,1,None,36.52338083
P09,Il6,Untrans. (+puro),,2,None,35.84746217
P10,Il6,Untrans. (+puro),,2,None,34.36227657
P11,Il6,Myd88,g1,2,Pam,20.61126941
P12,Il6,Myd88,g1,2,Pam,20.82135345
P15,Gapdh_std_1,,,,,17.43926313
P16,Gapdh_std_1,,,,,17.27669944
P17,Gapdh_std_2,,,,,18.34882809
P18,Gapdh_std_2,,,,,18.58562737
P19,Gapdh_std_3,,,,,19.89856549
P20,Gapdh_std_3,,,,,19.7134925
P21,Gapdh_std_4,,,,,21.15729658
P22,Gapdh_std_4,,,,,20.98386402
P23,Gapdh_std_5,,,,,22.16799132
